,price,price_per_sqft,bedRoom,bathroom,floorNum,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
price,1.0,0.7874371189919531,0.5912889599950611,0.6097767436052948,-0.08744227566880776,0.748573579377451,0.24295468476109777,0.3919304107525188,0.30567664229646047,0.3198523105763644,-0.013063710502576422,0.22562531390609886,0.09147321838920547
price_per_sqft,0.7874371189919531,1.0,0.4160853213341479,0.4649435507941644,-0.11712525458366495,0.3566347428358502,0.20312477418793798,0.2720491856515359,0.2975606527314376,0.26448175922379474,-0.023406341286679507,0.21825954608799447,0.04082928622766583
bedRoom,0.5912889599950611,0.4160853213341479,1.0,0.8110845605567749,-0.08519841221099242,0.6041423693970237,0.14248882315823436,0.37257696236191934,0.19648189284263065,0.27942001462881966,0.03037176355117593,0.2024314904604439,0.06668063663068857
bathroom,0.6097767436052948,0.4649435507941644,0.8110845605567749,1.0,-0.04264363355411892,0.6089293964032103,0.1503665649840595,0.4757728956427927,0.20725170469387053,0.2845715879141576,0.0412186117863416,0.23891972843175827,0.14607356267303334
floorNum,-0.08744227566880776,-0.11712525458366495,-0.08519841221099242,-0.04264363355411892,1.0,0.005884241635957415,-0.05027791976685108,0.10292143286249691,-0.09163430097859025,-0.055411678612354874,-0.0056957580989096005,0.03394980413155417,0.17362658553426327
built_up_area,0.748573579377451,0.3566347428358502,0.6041423693970237,0.6089293964032103,0.005884241635957415,1.0,0.17045719068033433,0.4232961573272074,0.1959311612059987,0.250192895335679,-0.011808876526018969,0.16986966025173836,0.14388682744832282
study room,0.24295468476109777,0.20312477418793798,0.14248882315823436,0.1503665649840595,-0.05027791976685108,0.17045719068033433,1.0,0.16934756281326938,0.22062402862991118,0.29556847825450194,0.021656133560279917,0.13372153604110817,0.14101377281019908
servant room,0.3919304107525188,0.2720491856515359,0.37257696236191934,0.4757728956427927,0.10292143286249691,0.4232961573272074,0.16934756281326938,1.0,0.15317028560950435,0.2346043829745919,-0.022809630142406202,0.25285782911075133,0.3311083824565778
store room,0.30567664229646047,0.2975606527314376,0.19648189284263065,0.20725170469387053,-0.09163430097859025,0.1959311612059987,0.22062402862991118,0.15317028560950435,1.0,0.3056432771459865,-0.10617968179814924,0.13612289543926,0.18403247011193208
pooja room,0.3198523105763644,0.26448175922379474,0.27942001462881966,0.2845715879141576,-0.055411678612354874,0.250192895335679,0.29556847825450194,0.2346043829745919,0.3056432771459865,1.0,0.024315202123825135,0.193033748077761,0.17733169842935212
others,-0.013063710502576422,-0.023406341286679507,0.03037176355117593,0.0412186117863416,-0.0056957580989096005,-0.011808876526018969,0.021656133560279917,-0.022809630142406202,-0.10617968179814924,0.024315202123825135,1.0,0.05484235520376561,-0.05673462303006512
furnishing_type,0.22562531390609886,0.21825954608799447,0.2024314904604439,0.23891972843175827,0.03394980413155417,0.16986966025173836,0.13372153604110817,0.25285782911075133,0.13612289543926,0.193033748077761,0.05484235520376561,1.0,0.30214286318152095
luxury_score,0.09147321838920547,0.04082928622766583,0.06668063663068857,0.14607356267303334,0.17362658553426327,0.14388682744832282,0.14101377281019908,0.3311083824565778,0.18403247011193208,0.17733169842935212,-0.05673462303006512,0.30214286318152095,1.0
